text,abusive_behaviour_score,act_of_terror_score,action_score,afghanistan_score,air_transport_(infrastructures)_score,air_transport_score,algeria_score,alliances_score,anger_score,anxiety_score,armed_attack_(generic)_score,armed_conflict_score,armed_forces_score,arrest_score,arrests_police_custodies_and_detentions_score,arson_score,assassination_score,assault_(general)_score,attacks_on_critical_infrastructures_score,belgium_score,biological_and_chemical_weapons_score,bolivia_score,bombing_score,burkina_faso_score,car_bombing_score,chemical_attack_score,chemistry_score,commitment_score,compassion_score,computer_crime_score,consideration_score,conspiracy_score,counter_terrorism_score,counter_terrorist_attack_score,counterterrorism_operation_score,crime_score,cyber_attack_and_fraud_score,cyber_attack_score,cyber_deception_score,cyber_security_score,damage_score,data_loss_score,death_and_dying_score,defence_score,desire_score,disappointment_score,disaster_and_accident_score,dissent_demonstration_disorders_score,dissolution_score,egypt_score,electricity_production_and_distribution_score,emergency_incident_score,employee_score,environmental_pollution_score,espionage_and_intelligence_score,executive_(government)_score,explosion_score,explosive_score,explosives_score,fire_score,firearms_score,france_score,fraud_score,gang_activity_score,germany_score,hardware_score,hatred_score,homicide_score,ied_and_vbied_score,illicit_drugs_and_controlled_substances_score,injury_score,institution_score,interior_policy_score,international_relations_score,investments_score,iran_score,iraq_score,islam_score,israel_score,job_layoffs_score,judiciary_(system_of_justice)_score,key_groups_score,kidnapping_score,legal_counterterrorism_measures_score,legal_measure_score,libya_score,mass_killings_score,massacre_disaster_accident_fire_score,massacre_score,military_equipment_score,military_infrastructures_score,military_transport_vehicles_score,missile_systems_score,mozambique_score,national_government_score,national_security_score,netherlands_score,niger_score,nigeria_score,offence_score,pakistan_score,parties_and_movements_score,police_operations_score,police_score,political_initiatives_score,politics_score,power_plants_score,pride_score,prison_score,propaganda_and_ideology_score,punishment_score,railway_(infrastructures)_score,rebellions_score,religion_and_belief_score,religious_conflict_score,religious_leader_score,religiously_inspired_terrorism_score,repulsion_score,road_transport_(infrastructures)_score,roadside_bombing_score,russia_score,sadness_score,satisfaction_score,security_measures_score,seizures_and_confiscations_score,shame_score,somalia_score,spirituality_score,stand-off_weapon_score,stress_score,strike_score,success_score,suffering_score,syria_score,terrorism_score,terrorist_attack_on_civilians_and_properties_score,terrorist_attack_on_critical_infrastructures_score,terrorist_attack_on_military_and_police_forces_and_structures_score,terrorist_attack_on_politicians_or_political_or_government_institution_score,terrorist_attack_on_public_building_score,theft_and_robbery_score,theft_score,trust_score,tunisia_score,turkey_score,unconventional_weapons_(ied)_score,united_states_of_america_score,university_score,upper_house_score,war_crime_score,war_score,weaponry_score,weather_score,wmd_score
"For almost an hour, clashes erupted in the vicinity of Hardan, northeast of the Sinjar Mountains, interspersed with the detonation of three infiltrating persons with bomb belts on Peshmerga troops while the other two sided. The establishment of the support battalion was then carried out by attacking Peshmerga meetings in the area with Katyusha rockets. As a result of this massive operation, more than 120 Peshmerga apostates were slain.
",0,0,0,0,0,0,0,0,0,0,4005,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In another qualitative operation, caliphate soldiers attacked PKK wearers on the route between the hamlet of Iskenderun and the complex of (Khana Sor), and fighting erupted with several apostates riding in an SUV armed with Sprinkler weapons. The caliphate's warriors were able to kill 13 members and hurt a number of others. They did an excellent job, and God bless them. On the other hand, the Crusader-Safavid coalition aircraft bombed a transport vehicle for the Muslim public in the vicinity of (Umm al-Dhiban), killing 11 people.
",0,0,0,0,0,0,0,2430,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,4005,0,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,16875,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,2235,0,0,0
"The fight against the Nusayri regime lacked a pre-emptive strategy. Rather, it became more intense as a result of the population's reaction to the attacks. Following the massacres of protesters in various parts of the country, the regime has conducted raids on neighbourhoods and attempted to arrest demonstrators.
",0,1785,0,0,0,0,0,0,0,0,0,0,0,8010,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,8010,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Supporters were murdered in a high-quality operation for Caliphate fighters. Six Mujahideen penetrated the outskirts of (Al-Sabura), one of the Nusayri regime's strongholds; Nusayri forces in the village were blasted by Islamic State artillery. Because of the dread and disarray among the apostates, the brothers took advantage of it and managed to kill 35 members of the Nusseiri regime and its militias.
",0,0,0,0,0,0,0,0,0,30,4005,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,0,0,0,4005,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Particularly in clan regions and border areas where the Mahboos are active where people gradually began challenging security campaigns with shotguns and a few Kalashnikovs, until regime roadblocks and security points were stormed in some locations by gangs of armed youngsters accompanying the demonstrations to protect them from anticipated attacks by the Nusayri regime's security agencies.
",0,0,0,0,0,0,0,0,0,0,12015,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005
"A large-scale invasion was halted by Caliphate soldiers in Cyrenaica province. The tyrant's Haftar men launched it on the vicinity of Al Laythi from different axes where battles occurred between the two sides. Several apostates were slain, while the remainder were compelled to flee. Two canisters were detonated in the same place Al Laythi. Two separate gatherings awaked with explosive bombers. Six of them were slaughtered in an axis due to apostasy (Meat market). A military tank was also targeted.
",0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,0,0,0
"The tyrant used a guided missile on the same axis that caused it to be damaged, killing and injuring those inside. As previously stated, four Tyrant Haftar soldiers sniped in various axes throughout the region, resulting in their deaths. A member was slain in the al-Sabry area. After being targeted, another of the tyrant's warriors was hurt.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,2820,0,0,0,0,0,0,30,0,0,0,0,0,7290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Several high-level operations, the most recent of which was the assassination of a chief Intelligence. It is worth noting that security detachments were deployed in the city of Ajdabiya. A series of qualitative operations, the most recent of which was the killing of an Intelligence chief in the renegade city of Ataya Al-Arabi on 4 / Muharram 1437
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In Tripoli province, caliphate soldiers were able to thank God for targeting the headquarters of the \""Air Defense College\"" affiliated with the wearer of \""Libya Dawn\"" in the area of Khoms, east of the city of Tripoli, with a car bomb, resulting in the destruction of the headquarters and the death and injury of a number of elements.
",0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,3930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This was followed by skirmishes between caliphate soldiers and the garrison of the Nasiriyah airport in the Abu al-Walid farms area next to the airport. During which the Mujahideen killed a large number of people.
",0,0,0,0,2430,1200,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,2430,4005,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On Wednesday, 28 Muharram 1437, Caliphate fighters attacked Nusayri Army positions. On the eastern side of the airport walls, a car bomb was driven by the Martyr Abu Dujana Al-Sahali, resulting in numerous deaths and injuries. The Mujahideen also used missiles to attack apostate gatherings and barracks within an airport. We thankGod for the artillery, mortars, and casualties.
",0,0,0,0,4860,0,0,0,0,0,4005,0,3390,0,0,0,0,0,4005,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5505,0,4005,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,6435,0,4005,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russian jets launched it in an attempt to halt the advance of Islamic State soldiers. The Mujahideen also used missiles to attack apostate gatherings and barracks within an airport
",0,0,0,0,0,0,0,0,0,0,4005,0,3420,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5505,0,6435,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,8865,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"First and foremost, patriotism is a polytheism in Allah the Almighty: Patriotism is a deceptive religion. And a careless approach that requires the homeland worships a heathen and a ruler without God. It forces individuals to work solely for it, and be willing to make sacrifices and fight for it. And expending hatred and naivety on everyone who is outside its borders, even if they are God's protectors. And investing love and loyalty to everyone within its boundaries, and that they were among the worst infidels and the most insidious of polytheists. \""There are still some who take others as Allah's equal - they love them as they should love Allah - but sincere believers adore Allah even more\"", the Imam stated. Patriotism disregards domestic and foreign laws: the national bond reigns supreme. On the topic of who it is required to combine judgements on people\"", Sharia says that the house of disbelief, headed by unbelief's rules, is distinct from the house of Islam, which is followed by Islamic provisions and administers what Allah has revealed. The love of one's country is one sort of transgression, the destructive notion of \""patriotism\"" that has arisen among Muslim sons.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Islamic State decides on an official statement regarding the attacks on the French capital (Paris) on Friday night, November 13th, which resulted in deaths and injuries. There were over 500 crusaders. Instilling fear and panic in the minds of unbelievers. The French government issued an emergency declaration. French security personnel were deployed. Everyone is on high alert. Many European countries, including the United States, have declared a state of alert and utmost preparedness. Thousands of soldiers and police officers have been deployed in Paris following the operation.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,8010,1530,0,4005,0,0,0,0,0,0,0,0,0,0,2430,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"The mujahedeen stood up in the area of Saddamiat al-Tharthar to a convoy of the Safavid army and killed and wounded a number of the apostates and destroyed 3 of their mechanisms.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Islamic State issued a statement the morning after the operation to put to rest suspicions over who was responsible for the operation. \""In a conquest, God satisfied it with the reasons for compromise\"", the statement says.\"" The first storm was fired by a soldier who believed in the caliphate\"".
",0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"Panic and increased security measures are sweeping through European countries. Moscow metro station evacuated following a bomb alarm call. Following a bomb alert, employees and tourists were evacuated from a central Moscow commercial area. A train is evacuated at a stop in the Russian city of Yekaterinburg following a bomb alarm. The cancellation of a football match between Germany and the Netherlands in Germany. On suspicion of a bomb, 900 people were evacuated from a hotel in Belgium.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11295,1500,0,0,0,0,0,3600,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,63,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Islamic State provided an audio message to its spokesperson Sheikh Mujahid Abu Muhammad al-Adnani al-Shami - may Allah protect him - answering questions concerning the Islamic State's affiliation with al-Qaeda. Or, in the international field, the first Islamic is able to operate in it in some capacity. Because the Islamic wala is a component of the global jihad. And worldwide jihad was a necessary -Condemnation- from the man in charge.
",0,6840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0,0,0,14445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24030,0,0,0,2400,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14580,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qaeda leaders, may Allah have pity on them, were the embodiments of jihad in this age, as well as the holders of precedence and glory.
",0,4560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6435,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The declaration of the Islamic State of Iraq was one of the most significant events in Muslim history for a variety of reasons.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"\""The lost Sharia and closed off the road to the thieves of Jihad who were they ready themselves to steal the rewards of the Mujahideen sacrifices. Especially with the appearance of indicators of American failure and the plethora of expectations about His willingness to withdraw from Iraq,\"" and also because this announcement marks the end of the stage of the factions that preached jihad in Iraq, due to the various references of these factions.
",0,4560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7290,0,0,0,0,0,7290,3930,0,0,0,0,0,0,0,0,0,0,0,0
"On Tuesday 19 Safar, an Islamic State security unit in the province of Algiers struck two vehicles of the Renegade Algerian army in the city of Constantine, Eastern Algeria.
",0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,2430,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Furthermore, caliphate soldiers detonated two explosive devices on two army trucks apostasy; the first near the power plant in the (AL-washi) area south of the city Sheikh Zuweid, and the second near karm Karm Al Qawadis (Sheikh Zuweid). Both mechanisms were destroyed, and both elements were killed or injured as a result of the two actions.
",0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,2100,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Establishment of a Sharia Sciences College in Anbar Province. The Islamic State has not shied away from creating the proper and effective foundations for brain development, healing, and eradication of any contaminants through attentiveness in the discipline of forensic science.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1560,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The US pledges that it would support Bashar al-Assad in his fight against the Islamic State. After years of compromise and deception, the crusading US Secretary of State, John Kerry, finally revealed the reality of the American vision for the future of the situation in the Levant, which boils down to the fact that the tyrant Bashar al-Assad remains in power despite killing and abandoning millions of Levant residents in a fierce war against them.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,10440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2580,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11295,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
"Caliphate soldiers also targeted a vehicle of one of the Officials of the Popular Mobilization Forces (PMF) in the village of (Al-Tha'er) belonging to the area of (Tarmiyah) with an explosive device. So he was injured.
",0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The war against the Islamic State, in which an international alliance of more than one state is involved. The American minister explained the new American strategy for combating the Islamic State, which includes the establishment of \""Arab and Syrian armies that take over the fight against the Earth.\"" He stated that \""the international coalition and Russia's air strikes are insufficient to defeat\"" the Islamic State.
",0,0,0,0,0,0,0,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9720,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,7290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4950,0,0,0
